instance_id,best_usage,idle_time,labs,counted_students
inst_96,85,47,6,12
inst_97,176,114,10,23
inst_98,152,44,7,17
inst_99,75,15,6,9
inst_100,146,22,8,16
inst_101,221,59,10,27
inst_102,168,42,10,21
inst_103,111,78,7,15
inst_104,149,22,9,15
inst_105,193,97,10,19
inst_106,205,0,10,23
inst_107,99,55,7,11
inst_108,149,121,10,19
inst_109,84,6,6,10
inst_110,109,51,8,17
inst_111,123,3,7,15
inst_112,135,9,8,13
inst_113,137,38,7,15
inst_114,156,33,9,19
inst_115,122,74,7,14
inst_116,106,6,7,16
inst_117,148,82,10,14
inst_118,136,71,9,18
inst_119,86,46,6,13
inst_120,200,34,9,20
inst_121,101,34,9,16
inst_122,107,0,7,13
inst_123,150,32,7,15
inst_124,131,37,8,16
inst_125,198,12,10,25
inst_126,105,45,6,11
inst_127,94,8,6,11
inst_128,162,45,9,20
inst_129,62,13,5,8
inst_130,90,22,7,8
inst_131,99,26,5,12
inst_132,131,77,8,18
inst_133,109,36,5,14
inst_134,93,52,5,12
inst_135,106,38,6,12
inst_136,134,36,10,16
inst_137,156,33,9,22
inst_138,117,54,9,12
inst_139,125,19,9,14
inst_140,156,44,8,17
inst_141,124,12,8,15
inst_142,97,50,7,12
inst_143,97,22,7,11
inst_144,109,35,9,15
inst_145,96,65,7,13
inst_146,91,29,8,10
inst_147,92,34,6,10
inst_148,168,75,9,19
inst_149,137,95,8,17
inst_150,103,2,7,12
inst_151,197,19,9,21
inst_152,95,45,5,10
inst_153,81,64,5,12
inst_154,174,86,10,21
inst_155,138,162,10,20
inst_156,149,75,8,17
inst_157,133,128,9,18
inst_158,63,57,6,11
inst_159,192,108,10,24
inst_160,112,21,7,12
inst_161,111,22,7,12
inst_162,106,26,6,14
inst_163,117,30,7,15
inst_164,138,32,10,15
inst_165,106,62,6,11
inst_166,129,18,7,15
inst_167,105,71,8,12
inst_168,128,72,10,15
inst_169,168,35,7,19
inst_170,137,93,10,16
inst_171,72,58,5,10
inst_172,190,53,9,23
inst_173,111,57,6,12
inst_174,131,29,8,13
inst_175,129,11,7,14
inst_176,153,87,10,17
inst_177,91,21,7,11
inst_178,130,60,10,17
inst_179,154,98,9,22
inst_180,226,54,10,28
inst_181,90,45,5,11
inst_182,147,3,10,16
inst_183,205,25,10,23
inst_184,126,0,6,13
inst_185,62,58,5,10
inst_186,197,73,10,25
inst_187,135,68,7,17
inst_188,159,73,8,20
inst_189,66,29,5,10
inst_190,125,11,8,18
inst_191,76,49,5,9
inst_192,103,42,5,11
inst_193,138,105,9,17
inst_194,148,72,10,16
inst_195,145,115,10,17
inst_196,110,50,8,13
inst_197,139,41,10,19
inst_198,90,30,8,10
inst_199,126,42,6,12
inst_200,213,67,10,24
inst_201,126,114,8,16
inst_202,128,12,5,13
inst_203,97,22,7,13
inst_204,186,48,9,23
inst_205,158,2,10,19
inst_206,83,27,5,7
inst_207,159,101,10,19
inst_208,123,52,7,16
inst_209,165,35,10,20
inst_210,126,144,10,19
inst_211,91,28,7,12
inst_212,126,49,7,11
inst_213,137,7,6,16
inst_214,142,83,9,15
inst_215,186,84,9,19
inst_216,122,48,10,16
inst_217,152,0,8,18
inst_218,163,0,10,21
inst_219,98,102,8,16
inst_220,120,69,9,14
inst_221,79,11,6,7
inst_222,87,58,5,12
inst_223,160,30,10,21
inst_224,87,18,7,10
inst_225,74,22,6,9
inst_226,111,49,8,15
inst_227,146,52,9,18
inst_228,156,42,9,16
inst_229,187,65,9,25
inst_230,145,115,10,19
inst_231,145,44,9,20
inst_232,130,38,7,15
inst_233,63,27,5,10
inst_234,95,35,5,11
inst_235,158,45,7,20
inst_236,107,5,7,12
inst_237,71,14,5,8
inst_238,101,32,7,11
inst_239,130,78,8,15
inst_240,138,82,10,17
inst_241,102,78,6,12
inst_242,149,12,7,16
inst_243,84,21,5,12
inst_244,84,60,6,11
inst_245,192,8,10,22
inst_246,78,42,6,10
inst_247,96,37,7,12
inst_248,95,25,5,14
inst_249,79,0,5,8
inst_250,188,12,8,23
inst_251,156,105,9,19
inst_252,112,48,10,16
inst_253,135,33,8,15
inst_254,95,10,7,9
inst_255,120,16,8,13
inst_256,112,38,5,12
inst_257,188,92,10,19
inst_258,111,63,6,15
inst_259,94,26,8,11
inst_260,87,45,6,11
inst_261,127,8,9,17
inst_262,89,16,7,14
inst_263,61,54,5,10
inst_264,168,75,9,18
inst_265,120,0,7,13
inst_266,69,11,5,7
inst_267,190,10,10,23
inst_268,164,28,8,17
inst_269,118,82,8,15
inst_270,117,51,7,15
inst_271,166,23,9,23
inst_272,108,81,7,13
inst_273,125,25,10,14
inst_274,160,32,8,20
inst_275,119,25,8,16
inst_276,107,68,7,14
inst_277,132,84,9,18
inst_278,104,72,8,15
inst_279,149,112,9,18
inst_280,161,73,9,18
inst_281,178,11,9,19
inst_282,82,8,5,10
inst_283,176,34,10,20
inst_284,143,18,7,16
inst_285,71,43,6,8
inst_286,110,34,8,14
inst_287,73,22,5,11
inst_288,108,37,5,11
inst_289,135,55,10,16
inst_290,171,99,9,20
inst_291,162,6,8,21
inst_292,96,49,5,10
inst_293,138,6,9,18
inst_294,81,80,7,15
inst_295,108,52,8,13
inst_296,78,42,6,10
inst_297,148,44,8,17
inst_298,89,26,5,10
inst_299,176,84,10,22
inst_300,132,120,9,18
inst_301,78,78,6,11
inst_302,154,96,10,19
inst_303,189,72,9,22
inst_304,119,61,9,15
inst_305,144,0,8,15
inst_306,107,49,6,11
inst_307,214,76,10,25
inst_308,122,4,6,14
inst_309,87,33,6,10
inst_310,106,0,7,13
inst_311,109,71,6,18
inst_312,169,11,10,19
inst_313,142,56,9,18
inst_314,123,52,7,15
inst_315,113,27,5,14
inst_316,110,40,5,15
inst_317,130,122,9,18
inst_318,170,40,10,21
inst_319,168,62,10,22
inst_320,88,7,5,11
inst_321,85,20,7,12
inst_322,165,15,9,21
inst_323,76,56,6,12
inst_324,172,52,8,17
inst_325,95,0,5,10
inst_326,68,17,5,9
inst_327,141,29,10,17
inst_328,163,61,8,17
inst_329,88,27,5,10
inst_330,113,49,6,13
inst_331,91,21,7,12
inst_332,209,71,10,25
inst_333,110,100,7,14
inst_334,127,65,8,13
inst_335,118,32,6,15
inst_336,89,19,6,11
inst_337,124,84,8,13
inst_338,127,17,9,18
inst_339,70,15,5,9
inst_340,169,81,10,24
inst_341,134,37,9,16
inst_342,173,23,7,19
inst_343,160,47,9,21
inst_344,139,69,8,16
inst_345,115,29,8,14
inst_346,127,53,6,14
inst_347,91,0,5,11
inst_348,104,40,6,12
inst_349,104,31,5,12
inst_350,77,0,5,9
inst_351,200,70,10,26
inst_352,133,77,7,14
inst_353,197,27,8,21
inst_354,170,33,7,18
inst_355,140,10,10,15
inst_356,121,26,7,16
inst_357,148,122,10,21
inst_358,102,24,6,10
inst_359,75,51,6,10
inst_360,119,25,8,14
inst_361,79,41,5,10
inst_362,119,63,7,15
inst_363,145,71,8,18
inst_364,236,34,9,25
inst_365,180,50,10,21
inst_366,127,80,9,16
inst_367,139,61,8,15
inst_368,157,104,9,19
inst_369,162,36,9,20
inst_370,134,37,9,14
inst_371,152,64,8,20
inst_372,140,70,10,16
inst_373,129,41,10,16
inst_374,201,39,10,22
inst_375,126,0,7,16
inst_376,140,20,10,16
inst_377,192,88,10,22
inst_378,139,37,8,17
inst_379,117,9,7,11
inst_380,129,31,8,16
inst_381,116,100,9,16
inst_382,171,29,8,19
inst_383,127,17,8,14
inst_384,71,44,5,10
inst_385,83,0,5,10
inst_386,81,24,5,11
inst_387,174,60,9,22
inst_388,93,27,6,15
inst_389,199,51,10,22
inst_390,133,92,9,16
inst_391,113,37,6,14
inst_392,135,25,8,16
inst_393,95,31,7,12
inst_394,171,18,9,21
inst_395,90,25,5,9
inst_396,123,47,10,14
inst_397,122,58,9,15
inst_398,104,15,7,13
inst_399,135,27,6,14
inst_400,72,18,6,9
inst_401,89,16,7,10
inst_402,162,78,10,22
inst_403,130,23,9,15
inst_404,92,13,5,14
inst_405,135,33,7,14
inst_406,166,59,9,21
inst_407,144,96,8,19
inst_408,83,12,5,10
inst_409,147,33,9,15
inst_410,100,38,6,12
inst_411,123,12,9,17
inst_412,120,32,8,13
inst_413,136,44,10,14
inst_414,129,96,9,12
inst_415,180,20,10,20
inst_416,155,25,10,19
inst_417,148,60,8,21
inst_418,70,5,5,8
inst_419,131,53,8,17
inst_420,101,35,8,14
inst_421,220,70,10,26
inst_422,140,22,9,15
inst_423,81,59,5,11
inst_424,115,32,7,15
inst_425,92,69,7,14
inst_426,91,44,5,10
inst_427,158,94,9,21
inst_428,144,9,9,16
inst_429,113,55,6,14
inst_430,114,0,6,13
inst_431,78,18,6,12
inst_432,125,19,6,12
inst_433,69,27,6,10
inst_434,87,33,8,12
inst_435,68,7,5,9
inst_436,107,26,7,12
inst_437,188,62,10,22
inst_438,159,21,9,19
inst_439,192,98,10,25
inst_440,71,103,6,12
inst_441,71,19,5,11
inst_442,203,37,10,24
inst_443,79,29,6,11
inst_444,117,18,9,12
inst_445,122,103,9,17
inst_446,74,22,6,10
inst_447,158,32,10,18
inst_448,203,37,10,22
inst_449,134,26,8,13
inst_450,163,62,9,21
inst_451,130,86,9,18
inst_452,88,12,5,13
inst_453,97,59,6,15
inst_454,118,92,7,17
inst_455,71,34,5,9
inst_456,130,32,9,20
inst_457,123,27,10,15
inst_458,167,22,7,20
inst_459,140,60,10,17
inst_460,126,66,8,14
inst_461,187,74,9,19
inst_462,105,40,5,10
inst_463,164,52,8,16
inst_464,89,37,6,12
inst_465,90,43,7,11
inst_466,75,40,5,10
inst_467,119,14,7,13
inst_468,115,56,9,15
inst_469,126,28,7,15
inst_470,102,42,8,13
inst_471,141,55,7,16
inst_472,236,54,10,28
inst_473,170,82,9,23
inst_474,130,45,7,14
inst_475,158,32,10,19
inst_476,94,26,5,12
inst_477,104,46,5,13
inst_478,133,70,7,15
inst_479,90,18,6,9
inst_480,152,73,9,19
inst_481,152,28,10,18
inst_482,131,49,10,15
inst_483,88,42,5,12
inst_484,193,77,9,22
inst_485,155,48,7,16
inst_486,144,0,8,17
inst_487,188,46,9,20
inst_488,142,40,7,18
inst_489,164,116,10,19
inst_490,96,6,6,15
inst_491,61,19,5,8
inst_492,129,47,8,12
inst_493,117,81,9,16
inst_494,130,54,8,18
inst_495,106,22,8,11
inst_496,123,24,7,14
inst_497,211,89,10,23
inst_498,67,28,5,9
inst_499,144,9,9,16
inst_500,205,25,10,24
